,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
0,2024-11-12 00:00:00,add_circle_outline,"8.4 °C
8.4 → 8.9",,0 mm/1h,"14 km/h
raf.29.9",79%,5.9,5 °C,1030.8hPa,26 km
1,2024-11-12 23:00:00,add_circle_outline,"8.7 °C
8.5 → 9.3",,0 mm/1h,"14 km/h
raf.28.4",80%,6.3,5.4 °C,1031.0hPa,25 km
2,2024-11-12 22:00:00,add_circle_outline,"9.3 °C
9.3 → 10.3",,0 mm/1h,"18 km/h

raf.32",76%,6.6,5.3 °C,1030.6hPa,30 km
3,2024-11-12 21:00:00,add_circle_outline,"10.3 °C
10.3 → 10.7",,0 mm/1h,"11 km/h

raf.31.3",72%,,5.5 °C,1030.4hPa,35 km
4,2024-11-12 20:00:00,add_circle_outline,"10.4 °C
10.1 → 10.7",,0 mm/1h,"18 km/h

raf.30.6",73%,,5.8 °C,1030.0hPa,40 km
5,2024-11-12 19:00:00,add_circle_outline,"10.6 °C
10.5 → 10.6",,0 mm/1h,"18 km/h

raf.30.6",80%,,7.3 °C,1029.8hPa,35 km
6,2024-11-12 18:00:00,add_circle_outline,"10.6 °C
10.6 → 11.1",,0 mm/1h,"14 km/h
raf.29.5",83%,,7.8 °C,1029.2hPa,35 km
7,2024-11-12 17:00:00,add_circle_outline,"11.1 °C
10.8 → 11.3",,0 mm/1h,"22 km/h

raf.40.7",82%,19 ,8.1 °C,1028.7hPa,35 km
8,2024-11-12 16:00:00,add_circle_outline,"11.2 °C
11 → 11.2",,0 mm/1h,"22 km/h

raf.41",84%,75 ,8.6 °C,1028.6hPa,35 km
9,2024-11-12 15:00:00,add_circle_outline,"11.1 °C
10.7 → 11.1",,0 mm/1h,"22 km/h

raf.42.1",84%,89 ,8.5 °C,1028.9hPa,26 km
10,2024-11-12 14:00:00,add_circle_outline,"10.8 °C
10.8 → 12.5",,0 mm/1h,"29 km/h

raf.50.4",82%,136 ,7.8 °C,1029.7hPa,7 km
11,2024-11-12 13:00:00,add_circle_outline,"12.3 °C
11.5 → 12.7",,0 mm/1h,"25 km/h

raf.49",70%,319 ,7 °C,1030.3hPa,28 km
12,2024-11-12 12:00:00,add_circle_outline,"11.9 °C
11 → 12.1",,0 mm/1h,"25 km/h

raf.46.4",73%,242 ,7.2 °C,1031.2hPa,25 km
13,2024-11-12 11:00:00,add_circle_outline,"10.9 °C
10 → 11.1",,0 mm/1h,"25 km/h

raf.40.3",78%,214 ,7.2 °C,1032.1hPa,35 km
14,2024-11-12 10:00:00,add_circle_outline,"9.8 °C
6.3 → 9.8",,0 mm/1h,"22 km/h
raf.29.2",87%,"6.9

125 ",7.7 °C,1032.9hPa,30 km
15,2024-11-12 09:00:00,add_circle_outline,"6.3 °C
3.9 → 6.3",,0 mm/1h,"11 km/h
raf.16.6",94%,"4

22 ",5.4 °C,1033.1hPa,19 km
16,2024-11-12 08:00:00,add_circle_outline,"4.0 °C
3.8 → 5.2",,0 mm/1h,"11 km/h
raf.14.4",97%,1.3,3.6 °C,1033.3hPa,17 km
17,2024-11-12 07:00:00,add_circle_outline,"5.1 °C
5 → 5.4",,0 mm/1h,"11 km/h
raf.12.6",96%,2.6,4.5 °C,1033.6hPa,19 km
18,2024-11-12 06:00:00,add_circle_outline,"5.3 °C
5.2 → 5.6",,0 mm/1h,"11 km/h
raf.12.6",96%,2.8,4.7 °C,1034.1hPa,24 km
19,2024-11-12 05:00:00,add_circle_outline,"5.6 °C
4.8 → 5.6",,0 mm/1h,"11 km/h
raf.13",98%,3.2,5.3 °C,1034.4hPa,12 km
20,2024-11-12 04:00:00,add_circle_outline,"5.5 °C
5.5 → 5.9",,0 mm/1h,"7 km/h
raf.10.4",99%,3.9,5.4 °C,1034.5hPa,5 km
21,2024-11-12 03:00:00,add_circle_outline,"5.8 °C
5 → 6.1",,0 mm/1h,"7 km/h
raf.13.7",100%,4.2,5.8 °C,1034.9hPa,5 km
22,2024-11-12 02:00:00,add_circle_outline,"6.0 °C
6 → 6.5",,0 mm/1h,"7 km/h
raf.12.2",99%,4.5,5.9 °C,1034.9hPa,17 km
23,2024-11-12 01:00:00,add_circle_outline,"6.6 °C
6.2 → 6.8",,0 mm/1h,"11 km/h
raf.11.5",100%,4.4,6.6 °C,1035.1hPa,10 km
24,2024-11-13 00:00:00,add_circle_outline,"5.3 °C
4.9 → 5.4",,0 mm/1h,"14 km/h
raf.20.2",85%,2.2,3 °C,1032.7hPa,15 km
